Subject,Name,Hierarchy,Correct,Fact-id,RT,Question_type
6,Joshua,True,False,25,2187.025634765625,Non-Species
6,Joshua,True,False,24,3905.43212890625,Non-Species
6,Joshua,True,False,16,3374.209716796875,Non-Species
6,Joshua,True,False,24,2530.7392578125,Non-Species
6,Joshua,True,False,16,2843.050048828125,Non-Species
6,Joshua,True,False,15,3749.159912109375,Non-Species
6,Joshua,True,False,18,2436.969482421875,Non-Species
6,Joshua,True,False,15,1312.237548828125,Non-Species
6,Joshua,True,True,13,6498.525146484375,Non-Species
6,Joshua,True,False,18,6029.876953125,Non-Species
6,Joshua,True,False,25,2093.24609375,Non-Species
6,Joshua,True,False,14,5451.882568359375,Non-Species
6,Joshua,True,False,24,8138.7958984375,Non-Species
6,Joshua,True,False,14,2249.507080078125,Non-Species
6,Joshua,True,False,16,3671.094970703125,Non-Species
6,Joshua,True,True,15,1983.94287109375,Non-Species
6,Joshua,True,True,25,1624.651123046875,Non-Species
6,Joshua,True,True,18,1109.152099609375,Non-Species
6,Joshua,True,True,24,1280.998046875,Non-Species
6,Joshua,True,False,27,6518.3095703125,Non-Species
6,Joshua,True,False,21,3624.169921875,Non-Species
6,Joshua,True,True,27,999.77294921875,Non-Species
6,Joshua,True,True,16,1499.68701171875,Non-Species
6,Joshua,True,False,21,6373.537841796875,Non-Species
6,Joshua,True,True,14,1874.647216796875,Non-Species
6,Joshua,True,False,22,6123.600341796875,Non-Species
6,Joshua,True,False,19,3358.66748046875,Non-Species
6,Joshua,True,False,22,5514.418701171875,Non-Species
6,Joshua,True,True,19,1343.476318359375,Non-Species
6,Joshua,True,True,13,2155.819580078125,Non-Species
6,Joshua,True,True,25,1390.379150390625,Non-Species
6,Joshua,True,True,27,1202.919921875,Non-Species
6,Joshua,True,False,23,7451.419189453125,Non-Species
6,Joshua,True,True,21,1515.35498046875,Non-Species
6,Joshua,True,True,23,1202.928955078125,Non-Species
6,Joshua,True,True,24,1343.5234375,Non-Species
6,Joshua,True,False,20,6732.839111328125,Non-Species
6,Joshua,True,False,11,17948.9208984375,Species
6,Joshua,True,True,20,6045.42236328125,Non-Species
6,Joshua,True,False,11,7154.580078125,Species
6,Joshua,True,True,22,1952.74755859375,Non-Species
6,Joshua,True,True,16,2171.449462890625,Non-Species
6,Joshua,True,True,19,1343.480224609375,Non-Species
6,Joshua,True,True,23,952.93310546875,Non-Species
6,Joshua,True,False,29,3514.87255859375,Non-Species
6,Joshua,True,False,26,7166.084716796875,Non-Species
6,Joshua,True,True,29,2780.629150390625,Non-Species
6,Joshua,True,True,26,1140.42626953125,Non-Species
6,Joshua,True,True,20,3749.16064453125,Non-Species
6,Joshua,True,True,11,1983.939697265625,Species
6,Joshua,True,True,24,1405.8994140625,Non-Species
6,Joshua,True,True,16,1390.3251953125,Non-Species
6,Joshua,True,True,15,1030.966064453125,Non-Species
6,Joshua,True,False,7,12668.952392578125,Species
6,Joshua,True,False,20,1374.7138671875,Non-Species
6,Joshua,True,True,7,4249.013916015625,Species
6,Joshua,True,True,29,1171.632080078125,Non-Species
6,Joshua,True,True,26,906.045654296875,Non-Species
6,Joshua,True,False,12,24064.95166015625,Species
6,Joshua,True,True,18,1499.693603515625,Non-Species
6,Joshua,True,True,12,3124.341552734375,Species
6,Joshua,True,False,8,24853.516357421875,Species
6,Joshua,True,True,20,1874.562255859375,Non-Species
6,Joshua,True,False,8,1874.562255859375,Species
6,Joshua,True,True,7,3577.360595703125,Species
6,Joshua,True,True,25,1171.63525390625,Non-Species
6,Joshua,True,False,12,10981.781494140625,Species
6,Joshua,True,True,14,2233.9365234375,Non-Species
6,Joshua,True,False,6,5467.473388671875,Species
6,Joshua,True,True,8,11466.14501953125,Species
6,Joshua,True,True,6,2140.16015625,Species
6,Joshua,True,True,12,2249.505859375,Species
6,Joshua,True,False,7,2187.023193359375,Species
6,Joshua,True,True,27,3343.012939453125,Non-Species
6,Joshua,True,True,21,1327.859375,Non-Species
6,Joshua,True,True,8,9919.592529296875,Species
6,Joshua,True,True,20,1109.1103515625,Non-Species
6,Joshua,True,False,9,5592.482177734375,Species
6,Joshua,True,True,6,7111.953125,Species
6,Joshua,True,False,9,7111.953125,Species
6,Joshua,True,True,8,5748.727783203125,Species
6,Joshua,True,True,7,6967.1181640625,Species
6,Joshua,True,True,23,1234.126708984375,Non-Species
6,Joshua,True,True,6,2702.5654296875,Species
6,Joshua,True,False,8,7529.4951171875,Species
6,Joshua,True,True,22,1624.6396484375,Non-Species
6,Joshua,True,False,10,7576.39404296875,Species
7,levi,True,False,21,1671.406005859375,Non-Species
7,levi,True,True,23,1084.055908203125,Non-Species
7,levi,True,False,24,1803.293212890625,Non-Species
7,levi,True,True,21,1607.52099609375,Non-Species
7,levi,True,False,22,1665.986083984375,Non-Species
7,levi,True,False,24,13596.557373046875,Non-Species
7,levi,True,False,13,1678.746337890625,Non-Species
7,levi,True,False,22,8093.322998046875,Non-Species
7,levi,True,False,18,3126.02587890625,Non-Species
7,levi,True,False,13,2501.659912109375,Non-Species
7,levi,True,False,18,2501.659912109375,Non-Species
7,levi,True,False,27,1892.86181640625,Non-Species
7,levi,True,False,23,8339.94873046875,Non-Species
7,levi,True,False,15,1406.3759765625,Non-Species
